engine,operation,ops_per_sec,duration_sec,avg_latency_us,stddev_us,cv_percent,p50_us,p95_us,p99_us,min_us,max_us,peak_rss_mb,peak_vms_mb,disk_read_mb,disk_write_mb,cpu_user_sec,cpu_sys_sec,cpu_percent,db_size_mb,write_amp,read_amp,space_amp
tidesdb,PUT,6487709.68,0.771,1170.79,394.57,33.70,1078.00,1706.00,2475.00,507.00,6239.00,1170.75,1849.49,0.01,605.50,6.682,1.010,523.3,55.32,1.09,0.00,0.10
tidesdb,ITER,7158718.82,0.698,0,0,0,0,0,0,0,0,1170.75,1849.49,0.01,605.50,6.682,1.010,523.3,55.32,1.09,0.00,0.10
tidesdb,PUT,6471143.23,0.773,1189.20,374.69,31.51,1105.00,1739.00,2383.00,514.00,5499.00,1155.97,1838.95,0.00,605.07,6.816,1.044,530.8,55.31,1.09,0.00,0.10
tidesdb,ITER,7066318.82,0.708,0,0,0,0,0,0,0,0,1155.97,1838.95,0.00,605.07,6.816,1.044,530.8,55.31,1.09,0.00,0.10
tidesdb,PUT,6162044.52,0.811,1254.48,448.67,35.77,1189.00,1916.00,2771.00,607.00,7182.00,1155.07,1836.52,0.01,605.86,7.059,1.100,534.5,55.30,1.10,0.00,0.10
tidesdb,ITER,7001251.82,0.714,0,0,0,0,0,0,0,0,1155.07,1836.52,0.01,605.86,7.059,1.100,534.5,55.30,1.10,0.00,0.10
rocksdb,PUT,2498403.52,2.001,3199.82,742.00,23.19,3074.00,4080.00,5964.00,2089.00,13679.00,185.20,1293.67,0.29,741.81,7.124,0.907,270.0,117.65,1.34,0.00,0.21
rocksdb,ITER,5170684.29,0.967,0,0,0,0,0,0,0,0,185.20,1293.67,0.29,741.81,7.124,0.907,270.0,117.65,1.34,0.00,0.21
rocksdb,PUT,2465213.37,2.028,3242.69,1491.63,46.00,3079.00,4141.00,6260.00,2129.00,37549.00,209.53,1293.67,0.23,739.51,7.143,0.873,266.8,123.48,1.34,0.00,0.22
rocksdb,ITER,5151967.59,0.971,0,0,0,0,0,0,0,0,209.53,1293.67,0.23,739.51,7.143,0.873,266.8,123.48,1.34,0.00,0.22
rocksdb,PUT,2249450.57,2.223,3553.58,7026.48,197.73,3142.00,4245.00,6849.00,2073.00,178320.00,235.13,1293.67,0.29,757.01,7.920,0.857,274.5,122.99,1.37,0.00,0.22
rocksdb,ITER,5139020.79,0.973,0,0,0,0,0,0,0,0,235.13,1293.67,0.29,757.01,7.920,0.857,274.5,122.99,1.37,0.00,0.22
tidesdb,PUT,2492741.14,2.006,3020.37,1037.92,34.36,2909.00,4860.00,5730.00,805.00,7744.00,1164.92,1814.12,0.03,606.29,18.202,1.195,555.7,43.79,1.10,0.00,0.08
tidesdb,ITER,3369220.02,1.484,0,0,0,0,0,0,0,0,1164.92,1814.12,0.03,606.29,18.202,1.195,555.7,43.79,1.10,0.00,0.08
tidesdb,PUT,2373044.49,2.107,3122.21,1109.49,35.54,2954.00,5214.00,5948.00,833.00,7300.00,1163.61,1807.83,0.03,604.84,18.785,1.098,548.9,43.77,1.09,0.00,0.08
tidesdb,ITER,3301214.71,1.515,0,0,0,0,0,0,0,0,1163.61,1807.83,0.03,604.84,18.785,1.098,548.9,43.77,1.09,0.00,0.08
tidesdb,PUT,2468003.57,2.026,3104.58,1073.04,34.56,3005.00,5029.00,5937.00,745.00,8395.00,1156.12,1818.29,0.03,607.16,18.588,1.266,563.7,43.76,1.10,0.00,0.08
tidesdb,ITER,3343068.35,1.496,0,0,0,0,0,0,0,0,1156.12,1818.29,0.03,607.16,18.588,1.266,563.7,43.76,1.10,0.00,0.08
rocksdb,PUT,1764226.64,2.834,4531.39,1272.35,28.08,4351.00,6442.00,8730.00,2319.00,17821.00,232.63,1293.80,0.32,690.75,10.541,0.933,264.4,78.55,1.25,0.00,0.14
rocksdb,ITER,3336779.11,1.498,0,0,0,0,0,0,0,0,232.63,1293.80,0.32,690.75,10.541,0.933,264.4,78.55,1.25,0.00,0.14
rocksdb,PUT,1420481.99,3.520,5628.38,2829.22,50.27,4861.00,10911.00,16261.00,2300.00,39897.00,211.45,1293.80,0.25,692.00,11.957,1.085,257.6,73.56,1.25,0.00,0.13
rocksdb,ITER,3252889.38,1.537,0,0,0,0,0,0,0,0,211.45,1293.80,0.25,692.00,11.957,1.085,257.6,73.56,1.25,0.00,0.13
rocksdb,PUT,1578145.34,3.168,5064.59,1411.76,27.88,4851.00,7630.00,9705.00,2325.00,14272.00,219.32,1293.80,0.29,691.13,11.736,0.974,266.6,75.94,1.25,0.00,0.14
rocksdb,ITER,3141567.84,1.592,0,0,0,0,0,0,0,0,219.32,1293.80,0.29,691.13,11.736,0.974,266.6,75.94,1.25,0.00,0.14
tidesdb,PUT,2733105.17,1.829,2602.95,2849.27,109.46,2586.00,4109.00,4681.00,723.00,137284.00,571.18,1041.44,0.00,576.93,11.272,1.707,642.2,10.16,1.04,0.00,0.02
tidesdb,ITER,3416895.66,0.191,0,0,0,0,0,0,0,0,571.18,1041.44,0.00,576.93,11.272,1.707,642.2,10.16,1.04,0.00,0.02
tidesdb,PUT,2754793.62,1.815,2596.19,2414.29,92.99,2573.00,4131.00,4795.00,771.00,117157.00,577.64,1105.44,0.00,576.93,11.359,1.603,646.5,10.19,1.04,0.00,0.02
tidesdb,ITER,3454010.34,0.189,0,0,0,0,0,0,0,0,577.64,1105.44,0.00,576.93,11.359,1.603,646.5,10.19,1.04,0.00,0.02
tidesdb,PUT,2750560.98,1.818,2636.61,3119.48,118.31,2548.00,4315.00,5241.00,672.00,126299.00,584.74,1105.44,0.00,576.93,11.639,1.542,655.3,10.18,1.04,0.00,0.02
tidesdb,ITER,3391721.56,0.193,0,0,0,0,0,0,0,0,584.74,1105.44,0.00,576.93,11.639,1.542,655.3,10.18,1.04,0.00,0.02
rocksdb,PUT,1284300.45,3.893,6152.23,1973.75,32.08,6402.00,8632.00,9967.00,1320.00,75552.00,185.15,1293.67,0.37,679.01,11.404,1.066,293.5,59.92,1.23,0.00,0.11
rocksdb,ITER,1854873.34,0.354,0,0,0,0,0,0,0,0,185.15,1293.67,0.37,679.01,11.404,1.066,293.5,59.92,1.23,0.00,0.11
rocksdb,PUT,1292357.33,3.869,6126.80,1857.41,30.32,6343.00,8290.00,9272.00,1359.00,79380.00,190.86,1293.67,0.30,679.72,11.388,1.069,292.9,60.25,1.23,0.00,0.11
rocksdb,ITER,1710379.23,0.384,0,0,0,0,0,0,0,0,190.86,1293.67,0.30,679.72,11.388,1.069,292.9,60.25,1.23,0.00,0.11
rocksdb,PUT,1245254.96,4.015,6365.63,2726.28,42.83,6480.00,8689.00,11255.00,1436.00,75850.00,150.61,1293.67,0.27,680.48,11.726,1.020,292.4,54.44,1.23,0.00,0.10
rocksdb,ITER,1915709.08,0.343,0,0,0,0,0,0,0,0,150.61,1293.67,0.27,680.48,11.726,1.020,292.4,54.44,1.23,0.00,0.10
tidesdb,GET,2364384.80,2.115,3.09,5.06,163.76,3.00,5.00,8.00,0.00,3552.00,851.01,1112.64,0.00,0.00,15.558,1.521,532.5,43.82,0.00,0.00,0.00
tidesdb,ITER,6794863.08,0.736,0,0,0,0,0,0,0,0,851.01,1112.64,0.00,0.00,15.558,1.521,532.5,43.82,0.00,0.00,0.00
tidesdb,GET,2303102.05,2.171,3.16,5.30,168.12,3.00,5.00,8.00,0.00,2139.00,852.42,1176.64,0.00,0.00,15.650,1.756,533.8,43.80,0.00,0.00,0.00
tidesdb,ITER,6841938.90,0.731,0,0,0,0,0,0,0,0,852.42,1176.64,0.00,0.00,15.650,1.756,533.8,43.80,0.00,0.00,0.00
tidesdb,GET,2400561.54,2.083,3.08,4.96,161.31,3.00,5.00,8.00,0.00,3184.00,850.12,1240.66,0.00,0.00,15.525,1.498,534.0,43.87,0.00,0.00,0.00
tidesdb,ITER,6718741.39,0.744,0,0,0,0,0,0,0,0,850.12,1240.66,0.00,0.00,15.525,1.498,534.0,43.87,0.00,0.00,0.00
rocksdb,GET,1544828.61,3.237,4.73,4.09,86.44,4.00,10.00,16.00,1.00,2471.00,228.72,1302.44,0.00,0.00,22.753,2.847,537.5,52.96,0.00,0.00,0.00
rocksdb,ITER,4382942.99,1.141,0,0,0,0,0,0,0,0,228.72,1302.44,0.00,0.00,22.753,2.847,537.5,52.96,0.00,0.00,0.00
rocksdb,GET,1471513.12,3.398,5.14,3.97,77.20,5.00,11.00,17.00,1.00,1268.00,208.94,1302.44,0.00,0.00,24.348,3.335,558.5,52.81,0.00,0.00,0.00
rocksdb,ITER,4300494.47,1.163,0,0,0,0,0,0,0,0,208.94,1302.44,0.00,0.00,24.348,3.335,558.5,52.81,0.00,0.00,0.00
rocksdb,GET,1685973.88,2.966,4.46,3.55,79.68,4.00,9.00,15.00,1.00,940.00,216.18,1302.56,0.00,0.00,21.869,2.507,537.2,53.01,0.00,0.00,0.00
rocksdb,ITER,4240461.29,1.179,0,0,0,0,0,0,0,0,216.18,1302.56,0.00,0.00,21.869,2.507,537.2,53.01,0.00,0.00,0.00
tidesdb,GET,4229152.39,1.182,1.70,3.96,233.21,1.00,3.00,4.00,0.00,2162.00,844.91,1112.67,0.00,0.00,8.212,1.889,453.3,55.31,0.00,0.00,0.00
tidesdb,ITER,7092963.21,0.705,0,0,0,0,0,0,0,0,844.91,1112.67,0.00,0.00,8.212,1.889,453.3,55.31,0.00,0.00,0.00
tidesdb,GET,3743820.82,1.336,1.94,4.56,235.40,2.00,3.00,4.00,0.00,2059.00,842.94,1112.60,0.00,0.00,9.201,2.179,478.1,55.31,0.00,0.00,0.00
tidesdb,ITER,7106320.50,0.704,0,0,0,0,0,0,0,0,842.94,1112.60,0.00,0.00,9.201,2.179,478.1,55.31,0.00,0.00,0.00
tidesdb,GET,4194623.83,1.192,1.75,3.95,226.07,2.00,3.00,4.00,0.00,562.00,845.31,1112.79,0.00,0.00,8.353,1.987,460.8,55.31,0.00,0.00,0.00
tidesdb,ITER,7070485.67,0.707,0,0,0,0,0,0,0,0,845.31,1112.79,0.00,0.00,8.353,1.987,460.8,55.31,0.00,0.00,0.00
rocksdb,GET,2795987.42,1.788,2.18,1.87,85.81,2.00,4.00,7.00,1.00,2323.00,203.77,1293.34,0.00,87.18,14.932,0.427,475.5,87.33,0.00,0.00,0.00
rocksdb,ITER,4636107.30,1.078,0,0,0,0,0,0,0,0,203.77,1293.34,0.00,87.18,14.932,0.427,475.5,87.33,0.00,0.00,0.00
rocksdb,GET,2875771.28,1.739,2.16,1.85,85.66,2.00,4.00,7.00,1.00,2044.00,199.50,1293.34,0.00,87.18,15.027,0.507,481.0,87.33,0.00,0.00,0.00
rocksdb,ITER,4690167.53,1.066,0,0,0,0,0,0,0,0,199.50,1293.34,0.00,87.18,15.027,0.507,481.0,87.33,0.00,0.00,0.00
rocksdb,GET,2473797.54,2.021,2.62,1.90,72.73,2.00,5.00,8.00,0.00,1554.00,226.77,1357.09,0.00,87.18,16.884,0.616,510.6,87.33,0.00,0.00,0.00
rocksdb,ITER,4776844.91,1.047,0,0,0,0,0,0,0,0,226.77,1357.09,0.00,87.18,16.884,0.616,510.6,87.33,0.00,0.00,0.00
tidesdb,GET,2745264.69,1.821,2.10,2.61,124.22,2.00,3.00,5.00,0.00,2318.00,129.98,594.63,0.00,0.00,11.883,2.023,616.1,10.19,0.00,0.00,0.00
tidesdb,ITER,7350003.37,0.089,0,0,0,0,0,0,0,0,129.98,594.63,0.00,0.00,11.883,2.023,616.1,10.19,0.00,0.00,0.00
tidesdb,GET,2826011.51,1.769,2.07,2.42,116.74,2.00,3.00,5.00,0.00,1411.00,129.31,594.63,0.00,0.00,11.211,2.366,614.9,10.17,0.00,0.00,0.00
tidesdb,ITER,7460801.90,0.088,0,0,0,0,0,0,0,0,129.31,594.63,0.00,0.00,11.211,2.366,614.9,10.17,0.00,0.00,0.00
tidesdb,GET,2831588.98,1.766,2.07,2.37,114.68,2.00,3.00,5.00,0.00,744.00,129.98,594.63,0.00,0.00,11.378,2.373,623.4,10.17,0.00,0.00,0.00
tidesdb,ITER,7217368.74,0.091,0,0,0,0,0,0,0,0,129.98,594.63,0.00,0.00,11.378,2.373,623.4,10.17,0.00,0.00,0.00
rocksdb,GET,1726335.74,2.896,4.06,2.99,73.67,3.00,9.00,13.00,0.00,1024.00,157.74,1296.15,0.00,0.00,20.649,2.583,630.2,37.44,0.00,0.00,0.00
rocksdb,ITER,1945029.59,0.338,0,0,0,0,0,0,0,0,157.74,1296.15,0.00,0.00,20.649,2.583,630.2,37.44,0.00,0.00,0.00
rocksdb,GET,1700252.32,2.941,4.05,3.27,80.82,3.00,9.00,13.00,0.00,2700.00,156.37,1296.48,0.00,0.00,20.601,2.554,626.6,36.34,0.00,0.00,0.00
rocksdb,ITER,1989932.94,0.330,0,0,0,0,0,0,0,0,156.37,1296.48,0.00,0.00,20.601,2.554,626.6,36.34,0.00,0.00,0.00
rocksdb,GET,1794215.02,2.787,3.91,3.27,83.73,3.00,9.00,13.00,0.00,1291.00,154.28,1296.16,0.00,0.00,19.744,2.502,630.5,37.42,0.00,0.00,0.00
rocksdb,ITER,1893283.97,0.347,0,0,0,0,0,0,0,0,154.28,1296.16,0.00,0.00,19.744,2.502,630.5,37.42,0.00,0.00,0.00
tidesdb,GET,2240893.35,2.231,3.32,14.38,433.47,3.00,6.00,8.00,0.00,10474.00,852.33,1176.65,2.51,0.00,16.027,1.773,536.0,43.77,0.00,0.00,0.00
tidesdb,ITER,6799751.40,0.735,0,0,0,0,0,0,0,0,852.33,1176.65,2.51,0.00,16.027,1.773,536.0,43.77,0.00,0.00,0.00
tidesdb,GET,2281726.61,2.191,3.18,6.11,192.26,3.00,5.00,8.00,1.00,3026.00,849.20,1176.66,3.11,0.00,15.996,1.503,531.9,43.83,0.00,0.01,0.00
tidesdb,ITER,6776803.27,0.738,0,0,0,0,0,0,0,0,849.20,1176.66,3.11,0.00,15.996,1.503,531.9,43.83,0.00,0.01,0.00
tidesdb,GET,2446119.33,2.044,2.95,5.17,175.12,3.00,5.00,7.00,0.00,1742.00,850.60,1112.66,2.96,0.00,14.651,1.721,521.4,43.70,0.00,0.01,0.00
tidesdb,ITER,6770572.38,0.738,0,0,0,0,0,0,0,0,850.60,1112.66,2.96,0.00,14.651,1.721,521.4,43.70,0.00,0.01,0.00
rocksdb,GET,1619129.56,3.088,4.68,7.23,154.41,4.00,9.00,15.00,1.00,1341.00,203.68,1302.38,42.07,0.00,21.822,2.374,521.1,52.78,0.00,0.08,0.00
rocksdb,ITER,4289842.34,1.166,0,0,0,0,0,0,0,0,203.68,1302.38,42.07,0.00,21.822,2.374,521.1,52.78,0.00,0.08,0.00
rocksdb,GET,1661468.49,3.009,4.60,7.27,158.04,4.00,9.00,15.00,1.00,4026.00,212.14,1302.47,41.63,0.00,21.845,2.157,503.2,52.93,0.00,0.08,0.00
rocksdb,ITER,3655240.63,1.368,0,0,0,0,0,0,0,0,212.14,1302.47,41.63,0.00,21.845,2.157,503.2,52.93,0.00,0.08,0.00
rocksdb,GET,1447479.65,3.454,5.20,15.57,299.17,4.00,10.00,16.00,1.00,6951.00,211.43,1302.57,41.71,0.00,23.847,2.476,529.8,53.05,0.00,0.08,0.00
rocksdb,ITER,4431653.71,1.128,0,0,0,0,0,0,0,0,211.43,1302.57,41.71,0.00,23.847,2.476,529.8,53.05,0.00,0.08,0.00
tidesdb,GET,4241396.54,1.179,1.70,6.45,378.92,1.00,3.00,4.00,0.00,6083.00,843.67,1112.77,27.36,0.00,8.321,1.761,451.8,55.31,0.00,0.05,0.00
tidesdb,ITER,6984186.41,0.716,0,0,0,0,0,0,0,0,843.67,1112.77,27.36,0.00,8.321,1.761,451.8,55.31,0.00,0.05,0.00
tidesdb,GET,3982207.50,1.256,1.75,8.63,493.22,2.00,3.00,4.00,0.00,8009.00,844.43,1112.66,27.50,0.00,8.696,1.620,446.6,55.30,0.00,0.05,0.00
tidesdb,ITER,7010174.57,0.713,0,0,0,0,0,0,0,0,844.43,1112.66,27.50,0.00,8.696,1.620,446.6,55.30,0.00,0.05,0.00
tidesdb,GET,4200402.90,1.190,1.71,4.86,284.53,2.00,3.00,4.00,0.00,1917.00,844.21,1112.66,27.36,0.00,8.228,1.881,451.8,55.31,0.00,0.05,0.00
tidesdb,ITER,7089342.73,0.705,0,0,0,0,0,0,0,0,844.21,1112.66,27.36,0.00,8.228,1.881,451.8,55.31,0.00,0.05,0.00
rocksdb,GET,2410034.61,2.075,2.82,16.62,589.00,2.00,4.00,8.00,1.00,6185.00,201.73,1293.75,85.25,87.18,16.392,0.703,479.0,87.29,0.00,0.15,0.00
rocksdb,ITER,4469269.75,1.119,0,0,0,0,0,0,0,0,201.73,1293.75,85.25,87.18,16.392,0.703,479.0,87.29,0.00,0.15,0.00
rocksdb,GET,2416139.42,2.069,2.71,15.36,567.22,2.00,4.00,8.00,1.00,5393.00,203.45,1293.54,84.89,87.18,16.161,0.657,446.0,87.29,0.00,0.15,0.00
rocksdb,ITER,3761765.86,1.329,0,0,0,0,0,0,0,0,203.45,1293.54,84.89,87.18,16.161,0.657,446.0,87.29,0.00,0.15,0.00
rocksdb,GET,1968591.52,2.540,3.08,29.71,964.03,2.00,5.00,9.00,0.00,42357.00,206.20,1357.11,85.32,87.18,17.768,0.699,455.4,87.29,0.00,0.15,0.00
rocksdb,ITER,4621934.96,1.082,0,0,0,0,0,0,0,0,206.20,1357.11,85.32,87.18,17.768,0.699,455.4,87.29,0.00,0.15,0.00
tidesdb,PUT,5769548.09,0.867,1307.73,515.86,39.45,1236.00,2075.00,2559.00,614.00,11602.00,1181.86,2112.75,0.04,647.21,10.889,1.028,488.1,103.91,1.17,0.00,0.19
tidesdb,ITER,3176949.07,1.574,0,0,0,0,0,0,0,0,1181.86,2112.75,0.04,647.21,10.889,1.028,488.1,103.91,1.17,0.00,0.19
tidesdb,PUT,4888431.33,1.023,1610.01,1013.00,62.92,1386.00,2887.00,6202.00,646.00,18307.00,1170.87,2096.27,0.02,642.71,11.082,1.251,492.6,103.92,1.16,0.00,0.19
tidesdb,ITER,3378545.02,1.480,0,0,0,0,0,0,0,0,1170.87,2096.27,0.02,642.71,11.082,1.251,492.6,103.92,1.16,0.00,0.19
tidesdb,PUT,7282408.90,0.687,1055.39,293.96,27.85,1007.00,1518.00,1956.00,594.00,3285.00,1578.70,2278.90,0.01,617.84,7.782,1.086,403.8,103.91,1.12,0.00,0.19
tidesdb,ITER,3526461.15,1.418,0,0,0,0,0,0,0,0,1578.70,2278.90,0.01,617.84,7.782,1.086,403.8,103.91,1.12,0.00,0.19
rocksdb,PUT,2059939.29,2.427,3881.38,5127.88,132.11,3504.00,4823.00,6606.00,2137.00,113956.00,252.42,1294.16,0.10,876.96,12.441,1.349,297.2,213.47,1.59,0.00,0.39
rocksdb,ITER,2276806.90,2.196,0,0,0,0,0,0,0,0,252.42,1294.16,0.10,876.96,12.441,1.349,297.2,213.47,1.59,0.00,0.39
rocksdb,PUT,1829089.84,2.734,4371.07,17180.91,393.06,3568.00,4827.00,7530.00,2113.00,433270.00,224.16,1294.15,0.15,870.63,12.626,1.361,278.7,211.89,1.57,0.00,0.38
rocksdb,ITER,2205241.86,2.267,0,0,0,0,0,0,0,0,224.16,1294.15,0.15,870.63,12.626,1.361,278.7,211.89,1.57,0.00,0.38
rocksdb,PUT,1934857.23,2.584,4131.98,8062.41,195.12,3616.00,5019.00,7131.00,2234.00,208984.00,258.48,1294.18,0.13,876.03,12.379,1.295,290.8,215.78,1.58,0.00,0.39
rocksdb,ITER,2377505.00,2.103,0,0,0,0,0,0,0,0,258.48,1294.18,0.13,876.03,12.379,1.295,290.8,215.78,1.58,0.00,0.39
tidesdb,PUT,2209298.32,2.263,3322.03,1223.86,36.84,3209.00,5509.00,6315.00,945.00,7995.00,1287.78,1816.09,0.05,606.76,53.206,1.554,614.8,43.96,1.10,0.00,0.08
tidesdb,GET,1172729.17,4.264,6.30,5.40,85.61,6.00,14.00,20.00,0.00,3429.00,1287.78,1816.09,0.05,606.76,53.206,1.554,614.8,43.96,1.10,0.00,0.08
tidesdb,ITER,2530448.89,1.976,0,0,0,0,0,0,0,0,1287.78,1816.09,0.05,606.76,53.206,1.554,614.8,43.96,1.10,0.00,0.08
tidesdb,PUT,2121694.45,2.357,3505.02,1205.20,34.38,3434.00,5581.00,6731.00,758.00,9020.00,1288.42,1813.62,0.02,606.03,52.992,1.756,617.0,43.79,1.10,0.00,0.08
tidesdb,GET,1193556.13,4.189,6.14,4.98,81.04,6.00,14.00,19.00,0.00,1723.00,1288.42,1813.62,0.02,606.03,52.992,1.756,617.0,43.79,1.10,0.00,0.08
