engine,operation,ops_per_sec,duration_sec,avg_latency_us,stddev_us,cv_percent,p50_us,p95_us,p99_us,min_us,max_us,peak_rss_mb,peak_vms_mb,disk_read_mb,disk_write_mb,cpu_user_sec,cpu_sys_sec,cpu_percent,db_size_mb,write_amp,read_amp,space_amp
rocksdb,ITER,3694358.35,0.541,0,0,0,0,0,0,0,0,199.11,1293.67,0.21,263.19,3.262,0.369,166.6,39.80,1.19,0.00,0.18
rocksdb,PUT,1189272.05,1.682,66218.60,11876.19,17.93,65421.00,91785.00,102662.00,14715.00,104791.00,192.28,1293.67,0.16,264.24,3.448,0.322,167.5,39.85,1.19,0.00,0.18
rocksdb,ITER,3525241.61,0.567,0,0,0,0,0,0,0,0,192.28,1293.67,0.16,264.24,3.448,0.322,167.5,39.85,1.19,0.00,0.18
rocksdb,PUT,1225575.81,1.632,64221.40,8818.82,13.73,65842.00,74605.00,77026.00,12967.00,78386.00,186.56,1293.67,0.21,263.19,3.370,0.291,166.3,39.79,1.19,0.00,0.18
rocksdb,ITER,3524359.49,0.567,0,0,0,0,0,0,0,0,186.56,1293.67,0.21,263.19,3.370,0.291,166.3,39.79,1.19,0.00,0.18
tidesdb,PUT,657905.12,3.040,1519.78,775.95,51.06,1329.00,2863.00,5395.00,637.00,8612.00,358.89,562.34,0.02,241.85,4.067,0.313,121.3,15.35,1.09,0.00,0.07
tidesdb,ITER,3501927.81,0.571,0,0,0,0,0,0,0,0,358.89,562.34,0.02,241.85,4.067,0.313,121.3,15.35,1.09,0.00,0.07
tidesdb,PUT,659774.01,3.031,1515.46,764.34,50.44,1345.00,2820.00,5147.00,626.00,9073.00,358.82,562.34,0.04,241.85,4.070,0.311,121.4,15.35,1.09,0.00,0.07
tidesdb,ITER,3475661.68,0.575,0,0,0,0,0,0,0,0,358.82,562.34,0.04,241.85,4.070,0.311,121.4,15.35,1.09,0.00,0.07
tidesdb,PUT,669008.42,2.989,1494.52,755.11,50.52,1346.00,2528.00,5352.00,714.00,8177.00,358.64,562.34,0.00,241.85,3.994,0.343,121.7,15.35,1.09,0.00,0.07
tidesdb,ITER,3492632.29,0.573,0,0,0,0,0,0,0,0,358.64,562.34,0.00,241.85,3.994,0.343,121.7,15.35,1.09,0.00,0.07
rocksdb,PUT,1002265.62,1.995,997.59,389.12,39.01,939.00,1373.00,2339.00,599.00,8759.00,165.94,837.67,0.23,261.20,3.174,0.286,139.8,40.86,1.18,0.00,0.18
rocksdb,ITER,4169967.89,0.480,0,0,0,0,0,0,0,0,165.94,837.67,0.23,261.20,3.174,0.286,139.8,40.86,1.18,0.00,0.18
rocksdb,PUT,1008484.38,1.983,991.48,303.65,30.63,954.00,1269.00,2031.00,622.00,7082.00,165.43,901.67,0.18,261.20,3.171,0.278,139.7,40.86,1.18,0.00,0.18
rocksdb,ITER,4137531.55,0.483,0,0,0,0,0,0,0,0,165.43,901.67,0.18,261.20,3.171,0.278,139.7,40.86,1.18,0.00,0.18
rocksdb,PUT,1003607.47,1.993,996.28,374.75,37.61,952.00,1266.00,2263.00,604.00,11736.00,190.43,965.67,0.16,261.20,3.146,0.315,139.7,40.86,1.18,0.00,0.18
rocksdb,ITER,4131932.61,0.484,0,0,0,0,0,0,0,0,190.43,965.67,0.16,261.20,3.146,0.315,139.7,40.86,1.18,0.00,0.18
tidesdb,PUT,1112502.36,1.798,1789.83,734.16,41.02,1582.00,3360.00,4363.00,656.00,5948.00,377.64,570.60,0.02,242.58,4.797,0.372,215.6,16.36,1.10,0.00,0.07
tidesdb,ITER,3336174.64,0.599,0,0,0,0,0,0,0,0,377.64,570.60,0.02,242.58,4.797,0.372,215.6,16.36,1.10,0.00,0.07
tidesdb,PUT,1152533.82,1.735,1734.20,698.80,40.29,1543.00,3188.00,4233.00,768.00,7894.00,365.44,570.39,0.00,242.55,4.720,0.310,215.2,16.36,1.10,0.00,0.07
tidesdb,ITER,3324827.32,0.602,0,0,0,0,0,0,0,0,365.44,570.39,0.00,242.55,4.720,0.310,215.2,16.36,1.10,0.00,0.07
tidesdb,PUT,1146505.65,1.744,1734.27,741.42,42.75,1525.00,3265.00,4403.00,655.00,8867.00,365.37,570.43,0.01,242.51,4.659,0.370,214.1,16.23,1.10,0.00,0.07
tidesdb,ITER,3310622.46,0.604,0,0,0,0,0,0,0,0,365.37,570.43,0.01,242.51,4.659,0.370,214.1,16.23,1.10,0.00,0.07
rocksdb,PUT,1137226.25,1.759,1758.04,592.27,33.69,1674.00,2477.00,3867.00,720.00,13815.00,188.07,965.67,0.22,265.84,3.466,0.427,172.3,49.54,1.20,0.00,0.22
rocksdb,ITER,3996339.35,0.500,0,0,0,0,0,0,0,0,188.07,965.67,0.22,265.84,3.466,0.427,172.3,49.54,1.20,0.00,0.22
rocksdb,PUT,1113613.03,1.796,1795.37,535.36,29.82,1708.00,2657.00,4159.00,998.00,8422.00,142.39,901.67,0.19,263.05,3.479,0.276,161.5,43.71,1.19,0.00,0.20
rocksdb,ITER,3800662.84,0.526,0,0,0,0,0,0,0,0,142.39,901.67,0.19,263.05,3.479,0.276,161.5,43.71,1.19,0.00,0.20
rocksdb,PUT,1138019.58,1.757,1756.73,498.65,28.39,1661.00,2629.00,3940.00,926.00,5847.00,189.74,965.80,0.17,263.12,3.469,0.302,166.2,56.53,1.19,0.00,0.26
rocksdb,ITER,3917482.16,0.511,0,0,0,0,0,0,0,0,189.74,965.80,0.17,263.12,3.469,0.302,166.2,56.53,1.19,0.00,0.26
tidesdb,PUT,1846096.48,1.083,2124.67,953.11,44.86,1813.00,4058.00,5678.00,662.00,6963.00,484.41,733.50,0.01,245.10,5.605,0.366,374.8,17.65,1.11,0.00,0.08
tidesdb,ITER,3925964.17,0.509,0,0,0,0,0,0,0,0,484.41,733.50,0.01,245.10,5.605,0.366,374.8,17.65,1.11,0.00,0.08
tidesdb,PUT,1764166.26,1.134,2251.68,1077.45,47.85,1917.00,4517.00,5787.00,782.00,8771.00,479.90,730.96,0.01,247.16,5.884,0.408,379.5,17.43,1.12,0.00,0.08
tidesdb,ITER,3816451.58,0.524,0,0,0,0,0,0,0,0,479.90,730.96,0.01,247.16,5.884,0.408,379.5,17.43,1.12,0.00,0.08
tidesdb,PUT,1763973.31,1.134,2235.32,970.15,43.40,1977.00,4300.00,5108.00,812.00,6932.00,481.92,732.36,0.00,245.37,5.656,0.552,382.1,17.49,1.11,0.00,0.08
tidesdb,ITER,4076341.73,0.491,0,0,0,0,0,0,0,0,481.92,732.36,0.00,245.37,5.656,0.552,382.1,17.49,1.11,0.00,0.08
rocksdb,PUT,1834379.39,1.090,2178.50,650.29,29.85,2056.00,3200.00,4658.00,1151.00,8572.00,158.78,1037.67,0.22,260.92,3.605,0.359,242.5,39.85,1.18,0.00,0.18
rocksdb,ITER,3693048.57,0.542,0,0,0,0,0,0,0,0,158.78,1037.67,0.22,260.92,3.605,0.359,242.5,39.85,1.18,0.00,0.18
rocksdb,PUT,1828690.14,1.094,2185.43,809.46,37.04,2015.00,3711.00,5563.00,1082.00,8816.00,152.99,1037.67,0.18,261.02,3.622,0.376,245.1,37.91,1.18,0.00,0.17
rocksdb,ITER,3742437.94,0.534,0,0,0,0,0,0,0,0,152.99,1037.67,0.18,261.02,3.622,0.376,245.1,37.91,1.18,0.00,0.17
rocksdb,PUT,1728490.45,1.157,2312.74,718.89,31.08,2198.00,3463.00,4934.00,1125.00,8647.00,125.98,1037.67,0.19,261.08,3.725,0.367,242.0,38.31,1.18,0.00,0.17
rocksdb,ITER,3787140.01,0.528,0,0,0,0,0,0,0,0,125.98,1037.67,0.19,261.08,3.725,0.367,242.0,38.31,1.18,0.00,0.17
tidesdb,PUT,2752712.80,0.727,2724.86,996.23,36.56,2564.00,4588.00,5180.00,933.00,5679.00,549.99,1198.05,0.00,237.33,6.083,0.569,478.9,17.99,1.07,0.00,0.08
tidesdb,ITER,3019925.47,0.662,0,0,0,0,0,0,0,0,549.99,1198.05,0.00,237.33,6.083,0.569,478.9,17.99,1.07,0.00,0.08
tidesdb,PUT,2767901.75,0.723,2561.07,890.71,34.78,2451.00,4183.00,4903.00,855.00,6243.00,550.32,1198.01,0.00,237.35,5.623,0.615,481.2,18.05,1.07,0.00,0.08
tidesdb,ITER,3488142.93,0.573,0,0,0,0,0,0,0,0,550.32,1198.01,0.00,237.35,5.623,0.615,481.2,18.05,1.07,0.00,0.08
tidesdb,PUT,2793132.25,0.716,2609.07,922.46,35.36,2442.00,4333.00,5009.00,773.00,6383.00,550.25,1198.13,0.00,237.38,5.701,0.586,490.4,18.03,1.07,0.00,0.08
tidesdb,ITER,3534849.19,0.566,0,0,0,0,0,0,0,0,550.25,1198.13,0.00,237.38,5.701,0.586,490.4,18.03,1.07,0.00,0.08
rocksdb,PUT,1699355.18,1.177,4697.82,1102.34,23.46,4612.00,6657.00,8315.00,2331.00,10450.00,145.91,1293.67,0.22,261.67,3.756,0.435,241.3,36.73,1.18,0.00,0.17
rocksdb,ITER,3598403.75,0.556,0,0,0,0,0,0,0,0,145.91,1293.67,0.22,261.67,3.756,0.435,241.3,36.73,1.18,0.00,0.17
rocksdb,PUT,1755639.55,1.139,4550.39,955.82,21.01,4480.00,6248.00,7401.00,2513.00,9417.00,146.80,1293.67,0.20,262.48,3.726,0.488,245.8,38.25,1.19,0.00,0.17
rocksdb,ITER,3496546.29,0.572,0,0,0,0,0,0,0,0,146.80,1293.67,0.20,262.48,3.726,0.488,245.8,38.25,1.19,0.00,0.17
rocksdb,PUT,1733955.71,1.153,4604.56,984.73,21.39,4614.00,6493.00,7678.00,2431.00,10204.00,166.63,1293.67,0.16,262.42,3.779,0.337,240.9,37.85,1.19,0.00,0.17
rocksdb,ITER,3619824.33,0.553,0,0,0,0,0,0,0,0,166.63,1293.67,0.16,262.42,3.779,0.337,240.9,37.85,1.19,0.00,0.17
tidesdb,PUT,3186880.25,0.628,4837.20,1345.69,27.82,4778.00,7120.00,8528.00,1789.00,10649.00,552.57,1198.17,0.01,237.13,7.038,0.844,669.6,17.65,1.07,0.00,0.08
tidesdb,ITER,3641965.64,0.549,0,0,0,0,0,0,0,0,552.57,1198.17,0.01,237.13,7.038,0.844,669.6,17.65,1.07,0.00,0.08
tidesdb,PUT,3128367.88,0.639,4936.67,1443.46,29.24,4855.00,7503.00,8940.00,1661.00,11665.00,552.11,1198.29,0.00,237.17,7.128,0.821,665.5,17.65,1.07,0.00,0.08
tidesdb,ITER,3604376.43,0.555,0,0,0,0,0,0,0,0,552.11,1198.29,0.00,237.17,7.128,0.821,665.5,17.65,1.07,0.00,0.08
tidesdb,PUT,3235664.79,0.618,4736.06,1293.75,27.32,4649.00,6990.00,8562.00,1390.00,10517.00,552.24,1198.21,0.00,237.15,6.975,0.808,661.3,17.67,1.07,0.00,0.08
tidesdb,ITER,3580123.16,0.559,0,0,0,0,0,0,0,0,552.24,1198.21,0.00,237.15,6.975,0.808,661.3,17.67,1.07,0.00,0.08
rocksdb,PUT,1725369.49,1.159,9240.82,1568.73,16.98,9396.00,11799.00,13287.00,3020.00,16503.00,137.84,1807.55,0.22,262.72,3.837,0.313,240.0,38.34,1.19,0.00,0.17
rocksdb,ITER,3533937.28,0.566,0,0,0,0,0,0,0,0,137.84,1807.55,0.22,262.72,3.837,0.313,240.0,38.34,1.19,0.00,0.17
rocksdb,PUT,1742664.25,1.148,9149.13,1599.42,17.48,9354.00,11672.00,13568.00,3339.00,16070.00,154.94,1807.55,0.16,263.41,3.672,0.443,241.8,40.35,1.19,0.00,0.18
rocksdb,ITER,3645317.86,0.549,0,0,0,0,0,0,0,0,154.94,1807.55,0.16,263.41,3.672,0.443,241.8,40.35,1.19,0.00,0.18
rocksdb,PUT,1724106.72,1.160,9238.96,1683.03,18.22,9445.00,11628.00,13647.00,2609.00,15715.00,155.67,1805.80,0.15,261.53,3.732,0.425,242.7,39.33,1.18,0.00,0.18
rocksdb,ITER,3635775.30,0.550,0,0,0,0,0,0,0,0,155.67,1805.80,0.15,261.53,3.732,0.425,242.7,39.33,1.18,0.00,0.18
tidesdb,PUT,2216988.16,2.255,3321.47,1225.99,36.91,3223.00,5483.00,6442.00,912.00,7882.00,1143.03,1817.04,0.01,569.80,20.062,1.201,550.5,44.87,1.11,0.00,0.09
tidesdb,ITER,3051677.89,1.607,0,0,0,0,0,0,0,0,1143.03,1817.04,0.01,569.80,20.062,1.201,550.5,44.87,1.11,0.00,0.09
tidesdb,PUT,2235722.01,2.236,3463.59,1241.46,35.84,3361.00,5563.00,6645.00,908.00,15995.00,1134.45,1798.17,0.01,565.68,20.156,1.216,563.8,45.09,1.10,0.00,0.09
tidesdb,ITER,3155715.09,1.554,0,0,0,0,0,0,0,0,1134.45,1798.17,0.01,565.68,20.156,1.216,563.8,45.09,1.10,0.00,0.09
tidesdb,PUT,2218467.59,2.254,3389.75,1182.12,34.87,3290.00,5419.00,6398.00,954.00,8323.00,1143.16,1813.00,0.03,568.88,20.210,1.119,561.3,44.87,1.10,0.00,0.09
tidesdb,ITER,3173705.78,1.545,0,0,0,0,0,0,0,0,1143.16,1813.00,0.03,568.88,20.210,1.119,561.3,44.87,1.10,0.00,0.09
rocksdb,PUT,1590728.98,3.143,5024.30,1165.42,23.20,4970.00,6980.00,8205.00,2562.00,14927.00,239.26,1293.80,0.29,663.16,11.310,1.051,275.2,91.82,1.29,0.00,0.18
rocksdb,ITER,3637186.22,1.348,0,0,0,0,0,0,0,0,239.26,1293.80,0.29,663.16,11.310,1.051,275.2,91.82,1.29,0.00,0.18
rocksdb,PUT,1586194.78,3.152,5038.44,1208.53,23.99,4947.00,7116.00,8730.00,2422.00,12587.00,239.57,1293.80,0.25,663.05,11.338,1.066,276.7,91.53,1.29,0.00,0.18
rocksdb,ITER,3686270.15,1.330,0,0,0,0,0,0,0,0,239.57,1293.80,0.25,663.05,11.338,1.066,276.7,91.53,1.29,0.00,0.18
rocksdb,PUT,1616074.38,3.094,4946.98,1109.56,22.43,4852.00,7078.00,8408.00,2409.00,11064.00,312.74,1293.80,0.27,663.02,11.263,1.061,278.3,91.95,1.29,0.00,0.18
rocksdb,ITER,3673944.88,1.335,0,0,0,0,0,0,0,0,312.74,1293.80,0.27,663.02,11.263,1.061,278.3,91.95,1.29,0.00,0.18
tidesdb,PUT,2118514.80,2.360,3598.68,1231.23,34.21,3536.00,5721.00,6618.00,792.00,7739.00,1252.80,1799.07,0.00,681.00,21.298,1.331,575.2,46.35,1.08,0.00,0.07
tidesdb,ITER,3177970.81,1.573,0,0,0,0,0,0,0,0,1252.80,1799.07,0.00,681.00,21.298,1.331,575.2,46.35,1.08,0.00,0.07
tidesdb,PUT,2104947.64,2.375,3615.35,1383.69,38.27,3542.00,5801.00,6672.00,872.00,35621.00,1253.21,1797.31,0.01,680.76,21.300,1.231,570.4,46.27,1.08,0.00,0.07
tidesdb,ITER,3176272.99,1.574,0,0,0,0,0,0,0,0,1253.21,1797.31,0.01,680.76,21.300,1.231,570.4,46.27,1.08,0.00,0.07
tidesdb,PUT,2107295.92,2.373,3622.69,1194.85,32.98,3548.00,5708.00,6544.00,820.00,8520.00,1245.05,1791.06,0.04,679.12,21.101,1.363,569.9,46.16,1.08,0.00,0.07
tidesdb,ITER,3188065.92,1.568,0,0,0,0,0,0,0,0,1245.05,1791.06,0.04,679.12,21.101,1.363,569.9,46.16,1.08,0.00,0.07
rocksdb,PUT,1994229.50,2.507,3998.94,3820.28,95.53,3571.00,5686.00,11766.00,1839.00,68819.00,217.44,1299.71,0.33,779.05,14.083,1.165,381.8,96.74,1.24,0.00,0.15
rocksdb,ITER,3386586.27,1.476,0,0,0,0,0,0,0,0,217.44,1299.71,0.33,779.05,14.083,1.165,381.8,96.74,1.24,0.00,0.15
rocksdb,PUT,2019296.40,2.476,3959.84,3110.79,78.56,3645.00,5204.00,10220.00,1947.00,56343.00,195.00,1299.71,0.23,776.12,14.074,1.164,385.8,92.94,1.23,0.00,0.15
rocksdb,ITER,3412321.76,1.465,0,0,0,0,0,0,0,0,195.00,1299.71,0.23,776.12,14.074,1.164,385.8,92.94,1.23,0.00,0.15
rocksdb,PUT,2016239.60,2.480,3964.06,1756.14,44.30,3785.00,5587.00,7406.00,1827.00,38386.00,246.93,1299.71,0.35,778.40,13.918,1.296,387.6,95.51,1.24,0.00,0.15
rocksdb,ITER,3467495.35,1.442,0,0,0,0,0,0,0,0,246.93,1299.71,0.35,778.40,13.918,1.296,387.6,95.51,1.24,0.00,0.15
tidesdb,PUT,1785533.18,2.800,4234.67,1449.41,34.23,4209.00,6748.00,7509.00,1063.00,9570.00,1416.77,1774.48,0.00,827.93,24.225,1.539,585.6,46.58,1.06,0.00,0.06
tidesdb,ITER,3128357.12,1.598,0,0,0,0,0,0,0,0,1416.77,1774.48,0.00,827.93,24.225,1.539,585.6,46.58,1.06,0.00,0.06
tidesdb,PUT,1812815.23,2.758,4240.55,1347.26,31.77,4226.00,6516.00,7290.00,1034.00,8442.00,1425.54,1790.85,0.01,831.91,24.749,1.567,600.4,46.54,1.06,0.00,0.06
tidesdb,ITER,3078214.98,1.624,0,0,0,0,0,0,0,0,1425.54,1790.85,0.01,831.91,24.749,1.567,600.4,46.54,1.06,0.00,0.06
tidesdb,PUT,1819446.17,2.748,4119.78,1453.68,35.29,4071.00,6512.00,7662.00,963.00,23924.00,1425.42,1790.96,0.02,832.07,24.022,1.605,589.0,46.75,1.06,0.00,0.06
tidesdb,ITER,3120968.10,1.602,0,0,0,0,0,0,0,0,1425.42,1790.96,0.02,832.07,24.022,1.605,589.0,46.75,1.06,0.00,0.06
rocksdb,PUT,1872875.92,2.670,4269.75,2249.44,52.68,4063.00,6011.00,8486.00,1875.00,47254.00,187.48,1295.08,0.37,942.21,14.658,1.373,389.5,73.45,1.20,0.00,0.09
rocksdb,ITER,3479592.19,1.437,0,0,0,0,0,0,0,0,187.48,1295.08,0.37,942.21,14.658,1.373,389.5,73.45,1.20,0.00,0.09
rocksdb,PUT,1850280.48,2.702,4320.94,2993.02,69.27,4047.00,5884.00,9132.00,1429.00,46839.00,226.32,1311.84,0.25,944.61,14.531,1.382,383.0,71.78,1.21,0.00,0.09
rocksdb,ITER,3458953.29,1.446,0,0,0,0,0,0,0,0,226.32,1311.84,0.25,944.61,14.531,1.382,383.0,71.78,1.21,0.00,0.09
rocksdb,PUT,1854854.66,2.696,4310.85,2046.74,47.48,4129.00,5850.00,10979.00,1878.00,37338.00,183.37,1311.84,0.25,944.27,14.974,1.522,396.2,73.53,1.21,0.00,0.09
rocksdb,ITER,3424312.76,1.460,0,0,0,0,0,0,0,0,183.37,1311.84,0.25,944.27,14.974,1.522,396.2,73.53,1.21,0.00,0.09
tidesdb,PUT,1392155.04,3.592,5445.64,1802.30,33.10,5422.00,8504.00,9756.00,1137.00,23643.00,1752.97,2270.51,0.00,1134.24,30.047,2.056,610.0,47.99,1.04,0.00,0.04
tidesdb,ITER,2993108.67,1.671,0,0,0,0,0,0,0,0,1752.97,2270.51,0.00,1134.24,30.047,2.056,610.0,47.99,1.04,0.00,0.04
tidesdb,PUT,1418545.55,3.525,5511.41,1649.06,29.92,5590.00,8172.00,8957.00,1281.00,10591.00,1752.99,2272.15,0.00,1134.64,30.483,2.178,629.3,47.90,1.04,0.00,0.04
tidesdb,ITER,3003365.57,1.665,0,0,0,0,0,0,0,0,1752.99,2272.15,0.00,1134.64,30.483,2.178,629.3,47.90,1.04,0.00,0.04
tidesdb,PUT,1447521.55,3.454,5273.09,1603.71,30.41,5269.00,7966.00,8858.00,1068.00,10694.00,1744.95,2276.28,0.01,1135.69,29.276,2.291,615.1,47.92,1.04,0.00,0.04
tidesdb,ITER,2980830.28,1.677,0,0,0,0,0,0,0,0,1744.95,2276.28,0.01,1135.69,29.276,2.291,615.1,47.92,1.04,0.00,0.04
rocksdb,PUT,1528856.09,3.270,5230.08,2064.44,39.47,4950.00,8058.00,12130.00,2072.00,29332.00,301.14,1327.70,0.36,1251.56,16.178,1.634,366.9,117.61,1.15,0.00,0.11
rocksdb,ITER,3159737.36,1.582,0,0,0,0,0,0,0,0,301.14,1327.70,0.36,1251.56,16.178,1.634,366.9,117.61,1.15,0.00,0.11
rocksdb,PUT,1607706.70,3.110,4971.55,2295.51,46.17,4822.00,6890.00,8372.00,2049.00,43456.00,342.19,1294.82,0.39,1261.23,16.745,1.521,369.2,103.91,1.16,0.00,0.10
rocksdb,ITER,2730090.68,1.831,0,0,0,0,0,0,0,0,342.19,1294.82,0.39,1261.23,16.745,1.521,369.2,103.91,1.16,0.00,0.10
rocksdb,PUT,1586741.95,3.151,5038.93,1367.55,27.14,4929.00,7101.00,8445.00,2373.00,21072.00,386.54,1361.27,0.29,1254.59,16.599,1.489,383.9,107.68,1.15,0.00,0.10
rocksdb,ITER,3204516.06,1.560,0,0,0,0,0,0,0,0,386.54,1361.27,0.29,1254.59,16.599,1.489,383.9,107.68,1.15,0.00,0.10
